Date,Cash,Credit,Total,Date,Checker,Actual_total
07/30/11,3237,1130.37,4367.37,Saturday,TRUE,4367.37
07/31/11,5950,2804.65,8754.65,Sunday,TRUE,8754.65
08/01/11,2230,496.35,2726.35,Monday,TRUE,2726.35
08/02/11,2610,1101.72,3711.72,Tuesday,TRUE,3711.72
08/03/11,2795,986.07,3781.07,Wednesday,TRUE,3781.07
08/04/11,2280,978.45,3258.45,Thursday,TRUE,3258.45
08/05/11,3490,1565.88,5055.88,Friday,TRUE,5055.88
08/06/11,3380,1768.35,5148.35,Saturday,TRUE,5148.35
08/07/11,5255,2594.29,7849.29,Sunday,TRUE,7849.29
08/08/11,1890,1062.76,2952.76,Monday,TRUE,2952.76
08/09/11,2125,619.17,2744.17,Tuesday,TRUE,2744.17
08/10/11,2260,1156.56,3416.56,Wednesday,TRUE,3416.56
08/11/11,2010,983.27,2993.27,Thursday,TRUE,2993.27
08/12/11,2673,1492.18,4165.18,Friday,TRUE,4165.18
08/13/11,2580,2198.07,4778.07,Saturday,TRUE,4778.07
08/14/11,5550,2001.61,7551.61,Sunday,TRUE,7551.61
08/15/11,1600,1009.41,2609.41,Monday,TRUE,2609.41
08/16/11,1690,631.42,2321.42,Tuesday,TRUE,2321.42
08/17/11,2380,582.11,2962.11,Wednesday,TRUE,2962.11
08/18/11,1800,856.39,2656.39,Thursday,TRUE,2656.39
08/19/11,2740,1498.14,4238.14,Friday,TRUE,4238.14
08/20/11,3145,1574.6,4719.6,Saturday,TRUE,4719.6
08/21/11,4325,3097.28,7422.28,Sunday,TRUE,7422.28
08/22/11,2050,976.38,3026.38,Monday,TRUE,3026.38
08/23/11,1665,1036.74,2701.74,Tuesday,TRUE,2701.74
08/24/11,1820,967.46,2787.46,Wednesday,TRUE,2787.46
08/25/11,1880,749.23,2629.23,Thursday,TRUE,2629.23
08/26/11,2385,1302.2,3687.2,Friday,TRUE,3687.2
08/27/11,2943,1276.08,4219.08,Saturday,TRUE,4219.08
08/28/11,5265,3094.35,8359.35,Sunday,TRUE,8359.35
08/29/11,1560,823.45,2383.45,Monday,TRUE,2383.45
08/30/11,1410,650.17,2060.17,Tuesday,TRUE,2060.17
08/31/11,2035,720.29,2755.29,Wednesday,TRUE,2755.29
09/01/11,2140,881.67,3021.67,Thursday,TRUE,3021.67
09/02/11,2800,1132.42,3932.42,Friday,TRUE,3932.42
09/03/11,3340,1412.34,4752.34,Saturday,TRUE,4752.34
09/04/11,4865,2204.93,7069.93,Sunday,TRUE,7069.93
09/05/11,2370,1152.02,3522.02,Monday,TRUE,3522.02
09/06/11,2047,790.99,2837.99,Tuesday,TRUE,2837.99
09/07/11,2100,670.63,2770.63,Wednesday,TRUE,2770.63
09/08/11,1905,469.93,2374.93,Thursday,TRUE,2374.93
09/09/11,2187,1148.9,3335.9,Friday,TRUE,3335.9
09/10/11,3256,1560.11,4816.11,Saturday,TRUE,4816.11
09/11/11,6416,2944.69,9360.69,Sunday,TRUE,9360.69
09/12/11,1953,652.53,2605.53,Monday,TRUE,2605.53
09/13/11,1427,546.65,1973.65,Tuesday,TRUE,1973.65
09/14/11,1412,402.26,1814.26,Wednesday,TRUE,1814.26
09/15/11,1834,853.35,2687.35,Thursday,TRUE,2687.35
09/16/11,3010,1057.64,4067.64,Friday,TRUE,4067.64
09/17/11,2780,1261.27,4041.27,Saturday,TRUE,4041.27
09/18/11,4694,2189.02,6883.02,Sunday,TRUE,6883.02
09/19/11,1878,758.74,2636.74,Monday,TRUE,2636.74
09/20/11,2162,760.1,2922.1,Tuesday,TRUE,2922.1
09/21/11,1795,1409.62,3204.62,Wednesday,TRUE,3204.62
09/22/11,2325,983.68,3308.68,Thursday,TRUE,3308.68
09/23/11,2493.85,1117.71,3611.56,Friday,TRUE,3611.56
09/24/11,2610,1200.24,3810.24,Saturday,TRUE,3810.24
09/25/11,4675,2425.02,7100.02,Sunday,TRUE,7100.02
09/26/11,2224,685.78,2909.78,Monday,TRUE,2909.78
